ie|1994|William Cohen|Grammatically biased learning: learning logic programs using an explicit antecedent description language|Artificial Intelligence, v68, pp 303-366||
fi|1993|William Cohen|Cryptographic limitations on learning one-clause logic programs|AAAI-93|postscript/aaai-93-cryptlim.ps|ps
|1993|P. S. Rosenbloom, H. Hirsh, Cohen, and B. D. Smith|Two frameworks for integrating knowledge in induction|Seventh Annual Workshop on Space Operations, Applications, and Research (SOAR '93), K. Krishen, editor, NASA Conference Publication 3240||
i|1993|William Cohen|Rapid prototyping of ILP systems using explicit bias|Proceedings of the 1993 IJCAI Workshop on Inductive Logic Programming|postscript/ijcai-ws-93.ps|ps|
fi|1993|William Cohen|Pac-learning a restricted class of recursive logic programs|AAAI-93|postscript/aaai-93-force2.ps|ps|
r|1993|William Cohen|Efficient pruning methods for separate-and-conquer rule learning systems|IJCAI-93||
f|1992|William Cohen, Alex Borgida, and Haym Hirsh|Computing least common subsumers in description logics|AAAI-92||
fe|1992|William Cohen|Using distribution-free learning theory to analyze solution path caching mechanisms|Computational Intelligence, 8(2)||
e|1992|William Cohen|Desiderata for generalization-to-n algorithms|Analogical and Inductive Inference: International Workshop AII'92, ed. K. P. Jantke, Proceedings published by Springer-Verlag as Lectures in Artificial Intelligence Series #642||
ie|1992|William Cohen|Compiling prior knowledge into an explicit bias|ICML-92|postscript/ml-92.ps|ps|
e|1992|William Cohen|Abductive explanation based learning: A solution to the multiple inconsistent explanation problem|Machine Learning, 8(2)||
e|1991|William Cohen|The generality of overgenerality|IWML-91|postscript/ml-91.ps|ps|
e|1990|William Cohen|Learning from textbook knowledge: A case study|AAAI-90|||
e|1990|William Cohen|Learning approximate control rules of high utility|ICML-90|postscript/ml-90-axaebl.ps|ps|
e|1990|William Cohen|An analysis of representation shift in concept learning|ICML-90|postscript/ml-90-repshift.ps|ps|
e|1988|William Cohen|Generalizing number and learning from multiple examples in explanation-based learning|ICML-88|||
a|1987|G. Miller, D. Rosenthal, W. Cohen, and M. Johnston|Expert systems tools for hubble space telescope scheduling|Proceedings of the 1987 Goddard Conference on SpaceApplications of Artificial Intelligence and Robotics||
a|1987|T. Hornick, W. Cohen, and G. Miller|A natural language query system for hubble space telescope proposal selection|Proceedings of the 1987 Goddard Conference on Space Applications of Artificial Intelligence and Robotics||
a|1986|K. Bartlett, W. Cohen, A. De Geus, and G. Hachtel|Synthesis and optimization of multi-level logic under timing constraints|IEEE Transactions on Computer-Aided Design, October 1986||
a|1985|A. De Geus and W. Cohen|Optimization of combinational logic using a rule-based expert system|IEEE Design and Test of Computers, August 1985||
a|1985|W. Cohen, K. Bartlett, and A. De Geus|Impact of metarules in a rule-based expert system for gate level optimization|Proceedings of the IEEE International Symposium on Circuits and Systems||
